Date,Time,Heart rate,Source
2026.08.12 00:00:00,00:00:00,66,
2026.08.12 00:01:00,00:01:00,65,
2026.08.12 00:02:00,00:02:00,65,
2026.08.12 00:03:00,00:03:00,67,
2026.08.12 00:04:00,00:04:00,64,
2026.08.12 00:05:00,00:05:00,65,
2026.08.12 00:06:00,00:06:00,65,
2026.08.12 00:07:00,00:07:00,65,
2026.08.12 00:08:00,00:08:00,64,
2026.08.12 00:09:00,00:09:00,64,
2026.08.12 00:10:00,00:10:00,64,
2026.08.12 00:11:00,00:11:00,64,
2026.08.12 00:12:00,00:12:00,62,
2026.08.12 00:13:00,00:13:00,65,
2026.08.12 00:14:00,00:14:00,66,
2026.08.12 00:15:00,00:15:00,73,
2026.08.12 00:16:00,00:16:00,81,
2026.08.12 00:17:00,00:17:00,56,
2026.08.12 00:18:00,00:18:00,57,
2026.08.12 00:19:00,00:19:00,58,
2026.08.12 00:20:00,00:20:00,57,
2026.08.12 00:21:00,00:21:00,58,
2026.08.12 00:22:00,00:22:00,56,
2026.08.12 00:23:00,00:23:00,71,
2026.08.12 00:24:00,00:24:00,50,
2026.08.12 00:25:00,00:25:00,54,
2026.08.12 00:26:00,00:26:00,54,
2026.08.12 00:27:00,00:27:00,55,
2026.08.12 00:28:00,00:28:00,55,
2026.08.12 00:29:00,00:29:00,53,
2026.08.12 00:30:00,00:30:00,52,
2026.08.12 00:31:00,00:31:00,53,
2026.08.12 00:32:00,00:32:00,53,
2026.08.12 00:33:00,00:33:00,54,
2026.08.12 00:34:00,00:34:00,54,
2026.08.12 00:35:00,00:35:00,55,
2026.08.12 00:36:00,00:36:00,56,
2026.08.12 00:37:00,00:37:00,54,
2026.08.12 00:38:00,00:38:00,56,
2026.08.12 00:39:00,00:39:00,56,
2026.08.12 00:40:00,00:40:00,56,
2026.08.12 00:41:00,00:41:00,57,
2026.08.12 00:42:00,00:42:00,56,
2026.08.12 00:43:00,00:43:00,57,
2026.08.12 00:44:00,00:44:00,57,
2026.08.12 00:45:00,00:45:00,58,
2026.08.12 00:46:00,00:46:00,57,
2026.08.12 00:47:00,00:47:00,58,
2026.08.12 00:48:00,00:48:00,57,
2026.08.12 00:49:00,00:49:00,64,
2026.08.12 00:50:00,00:50:00,55,
2026.08.12 00:51:00,00:51:00,57,
2026.08.12 00:52:00,00:52:00,54,
2026.08.12 00:53:00,00:53:00,67,
2026.08.12 00:54:00,00:54:00,55,
2026.08.12 00:55:00,00:55:00,56,
2026.08.12 00:56:00,00:56:00,58,
2026.08.12 00:57:00,00:57:00,60,
2026.08.12 00:58:00,00:58:00,61,
2026.08.12 00:59:00,00:59:00,62,
2026.08.12 01:00:00,01:00:00,58,
2026.08.12 01:01:00,01:01:00,62,
2026.08.12 01:02:00,01:02:00,64,
2026.08.12 01:03:00,01:03:00,64,
2026.08.12 01:04:00,01:04:00,66,
2026.08.12 01:05:00,01:05:00,66,
2026.08.12 01:06:00,01:06:00,65,
2026.08.12 01:07:00,01:07:00,61,
2026.08.12 01:08:00,01:08:00,66,
2026.08.12 01:09:00,01:09:00,58,
2026.08.12 01:10:00,01:10:00,60,
2026.08.12 01:11:00,01:11:00,59,
2026.08.12 01:12:00,01:12:00,61,
2026.08.12 01:13:00,01:13:00,59,
2026.08.12 01:14:00,01:14:00,59,
2026.08.12 01:15:00,01:15:00,57,
2026.08.12 01:16:00,01:16:00,67,
2026.08.12 01:17:00,01:17:00,62,
2026.08.12 01:18:00,01:18:00,61,
2026.08.12 01:19:00,01:19:00,59,
2026.08.12 01:20:00,01:20:00,60,
2026.08.12 01:21:00,01:21:00,59,
2026.08.12 01:22:00,01:22:00,60,
2026.08.12 01:23:00,01:23:00,61,
2026.08.12 01:24:00,01:24:00,60,
2026.08.12 01:25:00,01:25:00,59,
2026.08.12 01:26:00,01:26:00,61,
2026.08.12 01:27:00,01:27:00,59,
2026.08.12 01:28:00,01:28:00,61,
2026.08.12 01:29:00,01:29:00,55,
2026.08.12 01:30:00,01:30:00,55,
2026.08.12 01:31:00,01:31:00,56,
2026.08.12 01:32:00,01:32:00,57,
2026.08.12 01:33:00,01:33:00,62,
2026.08.12 01:34:00,01:34:00,53,
2026.08.12 01:35:00,01:35:00,54,
2026.08.12 01:36:00,01:36:00,56,
2026.08.12 01:37:00,01:37:00,55,
2026.08.12 01:38:00,01:38:00,55,
2026.08.12 01:39:00,01:39:00,55,
2026.08.12 01:40:00,01:40:00,53,
2026.08.12 01:41:00,01:41:00,55,
2026.08.12 01:42:00,01:42:00,55,
2026.08.12 01:43:00,01:43:00,55,
2026.08.12 01:44:00,01:44:00,57,
2026.08.12 01:45:00,01:45:00,57,
2026.08.12 01:46:00,01:46:00,57,
2026.08.12 01:47:00,01:47:00,56,
2026.08.12 01:48:00,01:48:00,58,
2026.08.12 01:49:00,01:49:00,58,
2026.08.12 01:50:00,01:50:00,56,
2026.08.12 01:51:00,01:51:00,57,
2026.08.12 01:52:00,01:52:00,57,
2026.08.12 01:53:00,01:53:00,58,
2026.08.12 01:54:00,01:54:00,57,
2026.08.12 01:55:00,01:55:00,54,
2026.08.12 01:56:00,01:56:00,56,
2026.08.12 01:57:00,01:57:00,60,
2026.08.12 01:58:00,01:58:00,55,
2026.08.12 01:59:00,01:59:00,56,
2026.08.12 02:00:00,02:00:00,67,
2026.08.12 02:01:00,02:01:00,67,
2026.08.12 02:02:00,02:02:00,61,
2026.08.12 02:03:00,02:03:00,59,
2026.08.12 02:04:00,02:04:00,60,
2026.08.12 02:05:00,02:05:00,60,
2026.08.12 02:06:00,02:06:00,60,
2026.08.12 02:07:00,02:07:00,60,
2026.08.12 02:08:00,02:08:00,66,
2026.08.12 02:09:00,02:09:00,55,
2026.08.12 02:10:00,02:10:00,82,
2026.08.12 02:11:00,02:11:00,58,
2026.08.12 02:12:00,02:12:00,54,
2026.08.12 02:13:00,02:13:00,53,
2026.08.12 02:14:00,02:14:00,53,
2026.08.12 02:15:00,02:15:00,55,
2026.08.12 02:16:00,02:16:00,55,
2026.08.12 02:17:00,02:17:00,57,
2026.08.12 02:18:00,02:18:00,56,
2026.08.12 02:19:00,02:19:00,56,
2026.08.12 02:20:00,02:20:00,55,
2026.08.12 02:21:00,02:21:00,56,
2026.08.12 02:22:00,02:22:00,56,
2026.08.12 02:23:00,02:23:00,57,
2026.08.12 02:24:00,02:24:00,55,
2026.08.12 02:25:00,02:25:00,57,
2026.08.12 02:26:00,02:26:00,59,
2026.08.12 02:27:00,02:27:00,60,
2026.08.12 02:28:00,02:28:00,58,
2026.08.12 02:29:00,02:29:00,58,
2026.08.12 02:30:00,02:30:00,53,
2026.08.12 02:31:00,02:31:00,56,
2026.08.12 02:32:00,02:32:00,57,
2026.08.12 02:33:00,02:33:00,58,
2026.08.12 02:34:00,02:34:00,58,
2026.08.12 02:35:00,02:35:00,61,
2026.08.12 02:36:00,02:36:00,57,
2026.08.12 02:37:00,02:37:00,58,
2026.08.12 02:38:00,02:38:00,59,
2026.08.12 02:39:00,02:39:00,62,
2026.08.12 02:40:00,02:40:00,63,
2026.08.12 02:41:00,02:41:00,63,
2026.08.12 02:42:00,02:42:00,63,
2026.08.12 02:43:00,02:43:00,62,
2026.08.12 02:44:00,02:44:00,64,
2026.08.12 02:45:00,02:45:00,66,
2026.08.12 02:46:00,02:46:00,63,
2026.08.12 02:47:00,02:47:00,66,
2026.08.12 02:48:00,02:48:00,65,
2026.08.12 02:49:00,02:49:00,65,
2026.08.12 02:50:00,02:50:00,63,
2026.08.12 02:51:00,02:51:00,57,
2026.08.12 02:52:00,02:52:00,57,
2026.08.12 02:53:00,02:53:00,56,
2026.08.12 02:54:00,02:54:00,56,
2026.08.12 02:55:00,02:55:00,56,
2026.08.12 02:56:00,02:56:00,60,
2026.08.12 02:57:00,02:57:00,62,
2026.08.12 02:58:00,02:58:00,62,
2026.08.12 02:59:00,02:59:00,63,
2026.08.12 03:00:00,03:00:00,66,
2026.08.12 03:01:00,03:01:00,64,
2026.08.12 03:02:00,03:02:00,63,
2026.08.12 03:03:00,03:03:00,61,
2026.08.12 03:04:00,03:04:00,61,
2026.08.12 03:05:00,03:05:00,53,
2026.08.12 03:06:00,03:06:00,54,
2026.08.12 03:07:00,03:07:00,61,
2026.08.12 03:08:00,03:08:00,59,
2026.08.12 03:09:00,03:09:00,57,
2026.08.12 03:10:00,03:10:00,60,
2026.08.12 03:11:00,03:11:00,59,
2026.08.12 03:12:00,03:12:00,57,
2026.08.12 03:13:00,03:13:00,55,
2026.08.12 03:14:00,03:14:00,58,
2026.08.12 03:15:00,03:15:00,65,
2026.08.12 03:16:00,03:16:00,56,
2026.08.12 03:17:00,03:17:00,58,
2026.08.12 03:18:00,03:18:00,58,
2026.08.12 03:19:00,03:19:00,59,
2026.08.12 03:20:00,03:20:00,62,
2026.08.12 03:21:00,03:21:00,59,
2026.08.12 03:22:00,03:22:00,58,
2026.08.12 03:23:00,03:23:00,61,
2026.08.12 03:24:00,03:24:00,56,
2026.08.12 03:25:00,03:25:00,61,
2026.08.12 03:26:00,03:26:00,61,
2026.08.12 03:27:00,03:27:00,62,
2026.08.12 03:28:00,03:28:00,61,
2026.08.12 03:29:00,03:29:00,58,
2026.08.12 03:30:00,03:30:00,60,
2026.08.12 03:31:00,03:31:00,59,
2026.08.12 03:32:00,03:32:00,62,
2026.08.12 03:33:00,03:33:00,60,
2026.08.12 03:34:00,03:34:00,59,
2026.08.12 03:35:00,03:35:00,53,
2026.08.12 03:36:00,03:36:00,54,
2026.08.12 03:37:00,03:37:00,54,
2026.08.12 03:38:00,03:38:00,54,
2026.08.12 03:39:00,03:39:00,55,
2026.08.12 03:40:00,03:40:00,55,
2026.08.12 03:41:00,03:41:00,54,
2026.08.12 03:42:00,03:42:00,57,
2026.08.12 03:43:00,03:43:00,57,
2026.08.12 03:44:00,03:44:00,56,
2026.08.12 03:45:00,03:45:00,59,
2026.08.12 03:46:00,03:46:00,57,
2026.08.12 03:47:00,03:47:00,52,
2026.08.12 03:48:00,03:48:00,53,
2026.08.12 03:49:00,03:49:00,57,
2026.08.12 03:50:00,03:50:00,54,
2026.08.12 03:51:00,03:51:00,53,
2026.08.12 03:52:00,03:52:00,55,
2026.08.12 03:53:00,03:53:00,55,
2026.08.12 03:54:00,03:54:00,56,
2026.08.12 03:55:00,03:55:00,54,
2026.08.12 03:56:00,03:56:00,54,
2026.08.12 03:57:00,03:57:00,71,
2026.08.12 03:58:00,03:58:00,54,
2026.08.12 03:59:00,03:59:00,60,
2026.08.12 04:00:00,04:00:00,59,
2026.08.12 04:01:00,04:01:00,58,
2026.08.12 04:02:00,04:02:00,58,
2026.08.12 04:03:00,04:03:00,58,
2026.08.12 04:04:00,04:04:00,58,
2026.08.12 04:05:00,04:05:00,60,
2026.08.12 04:06:00,04:06:00,61,
2026.08.12 04:07:00,04:07:00,60,
2026.08.12 04:08:00,04:08:00,54,
2026.08.12 04:09:00,04:09:00,56,
2026.08.12 04:10:00,04:10:00,54,
2026.08.12 04:11:00,04:11:00,56,
2026.08.12 04:12:00,04:12:00,61,
2026.08.12 04:13:00,04:13:00,59,
2026.08.12 04:14:00,04:14:00,62,
2026.08.12 04:15:00,04:15:00,58,
2026.08.12 04:16:00,04:16:00,61,
2026.08.12 04:17:00,04:17:00,66,
2026.08.12 04:18:00,04:18:00,56,
2026.08.12 04:19:00,04:19:00,59,
2026.08.12 04:20:00,04:20:00,60,
2026.08.12 04:21:00,04:21:00,57,
2026.08.12 04:22:00,04:22:00,55,
2026.08.12 04:23:00,04:23:00,59,
2026.08.12 04:24:00,04:24:00,66,
2026.08.12 04:25:00,04:25:00,67,
2026.08.12 04:26:00,04:26:00,62,
2026.08.12 04:27:00,04:27:00,66,
2026.08.12 04:28:00,04:28:00,61,
2026.08.12 04:29:00,04:29:00,59,
2026.08.12 04:30:00,04:30:00,61,
2026.08.12 04:31:00,04:31:00,60,
2026.08.12 04:32:00,04:32:00,65,
2026.08.12 04:33:00,04:33:00,65,
2026.08.12 04:34:00,04:34:00,64,
2026.08.12 04:35:00,04:35:00,64,
2026.08.12 04:36:00,04:36:00,64,
2026.08.12 04:37:00,04:37:00,67,
2026.08.12 04:38:00,04:38:00,63,
2026.08.12 04:39:00,04:39:00,65,
2026.08.12 04:40:00,04:40:00,68,
2026.08.12 04:41:00,04:41:00,85,
2026.08.12 04:42:00,04:42:00,63,
2026.08.12 04:43:00,04:43:00,56,
2026.08.12 04:44:00,04:44:00,57,
2026.08.12 04:45:00,04:45:00,59,
2026.08.12 04:46:00,04:46:00,63,
2026.08.12 04:47:00,04:47:00,65,
2026.08.12 04:48:00,04:48:00,61,
2026.08.12 04:49:00,04:49:00,60,
2026.08.12 04:50:00,04:50:00,58,
2026.08.12 04:51:00,04:51:00,60,
2026.08.12 04:52:00,04:52:00,60,
2026.08.12 04:53:00,04:53:00,66,
2026.08.12 04:54:00,04:54:00,65,
2026.08.12 04:55:00,04:55:00,61,
2026.08.12 04:56:00,04:56:00,62,
2026.08.12 04:57:00,04:57:00,59,
2026.08.12 04:58:00,04:58:00,62,
2026.08.12 04:59:00,04:59:00,61,
2026.08.12 05:00:00,05:00:00,64,
2026.08.12 05:01:00,05:01:00,64,
2026.08.12 05:02:00,05:02:00,67,
2026.08.12 05:03:00,05:03:00,57,
2026.08.12 05:04:00,05:04:00,59,
2026.08.12 05:05:00,05:05:00,60,
2026.08.12 05:06:00,05:06:00,58,
2026.08.12 05:07:00,05:07:00,54,
2026.08.12 05:08:00,05:08:00,61,
2026.08.12 05:09:00,05:09:00,59,
2026.08.12 05:10:00,05:10:00,64,
2026.08.12 05:11:00,05:11:00,63,
2026.08.12 05:12:00,05:12:00,63,
2026.08.12 05:13:00,05:13:00,66,
2026.08.12 05:14:00,05:14:00,63,
2026.08.12 05:15:00,05:15:00,60,
2026.08.12 05:16:00,05:16:00,60,
2026.08.12 05:17:00,05:17:00,60,
2026.08.12 05:18:00,05:18:00,59,
2026.08.12 05:19:00,05:19:00,74,
2026.08.12 05:20:00,05:20:00,57,
2026.08.12 05:21:00,05:21:00,57,
2026.08.12 05:22:00,05:22:00,60,
2026.08.12 05:23:00,05:23:00,62,
2026.08.12 05:24:00,05:24:00,56,
2026.08.12 05:25:00,05:25:00,61,
2026.08.12 05:26:00,05:26:00,60,
2026.08.12 05:27:00,05:27:00,64,
2026.08.12 05:28:00,05:28:00,59,
2026.08.12 05:29:00,05:29:00,62,
2026.08.12 05:30:00,05:30:00,61,
2026.08.12 05:31:00,05:31:00,57,
2026.08.12 05:32:00,05:32:00,62,
2026.08.12 05:33:00,05:33:00,61,
